method_id,method,variant,citation_key,title,authors,year,venue_or_status,primary_source,official_repository,training_lane,encoder_optimization,exported_or_runtime_state,reports_exact_serialized_file_bytes,reported_rate_evidence,evidence_status,comparison_limitations,verified_as_of
guidedquant,GuidedQuant,end-loss-guided PTQ,kim2025guidedquant,GuidedQuant: Large Language Model Quantization via Exploiting End Loss Guidance,"Jinuk Kim; Marwa El Halabi; Wonpyo Park; Clemens JS Schaefer; Deokjae Lee; Yeonhong Park; Jae W. Lee; Hyun Oh Song",2025,ICML 2025,https://proceedings.mlr.press/v267/kim25d.html,https://github.com/snu-mllab/GuidedQuant,backward_assisted,"A backward pass supplies end-loss gradients/Fisher blocks; quantization then proceeds without retraining the dense model.","The selected base quantizer payload; gradient/Fisher statistics are encoder-only and not deployed.",no,"Bit width, accuracy, and quantizer-specific results are reported; no complete serialized artifact byte count was found.",literature-reported,"Keep separate from no-backward PTQ; match backward corpus/budget, attached base quantizer, tensor scope, physical bytes, and evaluation.",2026-07-14
sliderquant,SliderQuant,fused channel scales and rank-4 low-rank auxiliary repair,wang2026sliderquant,SliderQuant: Accurate Post-Training Quantization for LLMs,"Shigeng Wang; Chao Li; Yangyuxuan Kang; Jiawei Fan; Zhonghong Ou; Anbang Yao",2026,ICLR 2026,https://arxiv.org/abs/2603.25284,https://github.com/deep-optimization/SliderQuant,backward_assisted,"AdamW optimizes local sliding-window reconstruction with learnable channel scales and rank-4 low-rank auxiliary state while the dense pretrained base remains the reference.","Exported codes/scales/zero-points; any scale or low-rank state not proven merged; scheme/group descriptors; padding, headers, and alignment.",no,"The source reports bit-width configurations and model metrics; no complete deployable output-file byte enumeration was found.",literature-reported,"Close scale-plus-low-rank B-track comparator; match calibration samples/tokens, epoch budget, W-only versus W/A scope, merged-state proof, actual bytes, compute, and evaluation.",2026-07-14
foem,FOEM,first-order error-aware compensation,zheng2026foem,First-Order Error Matters: Accurate Compensation for Quantized Large Language Models,"Xingyu Zheng; Haotong Qin; Yuye Li; Haoran Chu; Jiakai Wang; Jinyang Guo; Michele Magno; Xianglong Liu",2026,AAAI 2026,https://ojs.aaai.org/index.php/AAAI/article/view/40123,https://github.com/Xingyu-Zheng/FOEM,frozen_ptq,"Approximates the first-order term from latent/full-precision weight differences and avoids backpropagation-based gradients.","Base quantized codes/scales after compensation; any surviving transform or exception metadata.",no,"Bit width and accuracy/latency comparisons are reported; no byte-exact serialized artifact was found.",literature-reported,"Relevant to our nonzero linear loss term; match the base quantizer, compensation order, tensor scope, physical bytes, and evaluation.",2026-07-14
yaqa,YAQA,model-preserving adaptive rounding,tseng2026yaqa,Model-Preserving Adaptive Rounding,"Albert Tseng; Zhaofeng Sun; Christopher De Sa",2026,ICML 2026,https://openreview.net/forum?id=PKFilPWjMI,https://github.com/Cornell-RelaxML/yaqa-quantization,backward_assisted,"Full-model KL Hessian sketches use Hessian-vector products/backward passes; rounding itself performs no gradient learning. Recovery fine-tuning results are excluded.","Chosen quantizer codes/scales and incoherence metadata; Hessian sketches are encoder-only.",no,"Bit width and quantizer rate are reported; no complete serialized output-file byte enumeration was found.",literature-reported,"Match Hessian sketch variant, backward tokens/GPU-hours, quantizer, rotations, physical bytes, and evaluation; optional recovery fine-tuning belongs in a separate track.",2026-07-14
radio,Radio,rate-distortion optimized post-training quantization,young2025radio,Radio: Rate-Distortion Optimization for Large Language Model Compression,"Sean I. Young",2025,ICML 2025,https://proceedings.mlr.press/v267/young25b.html,https://github.com/seannz/radio,frozen_ptq,"Post-training rate-distortion allocation/quantization with the pretrained model fixed.","Quantized representation plus per-layer rate/allocation and decoder metadata required by the implementation.",no,"Target model size and rate-distortion budgets are reported, but no complete actual output-file byte enumeration including decoder metadata was found.",literature-reported,"A natural rate-allocation comparator, but its rate definition must be converted through the same physical serializer before direct ranking.",2026-07-14
q_palette,Q-Palette,fractional-bit quantizer palette and mixed-scheme allocation,lee2025qpalette,Q-Palette: Fractional-Bit Quantizers Toward Optimal Bit Allocation for Efficient LLM Deployment,"Deokjae Lee; Hyun Oh Song",2025,NeurIPS 2025,https://neurips.cc/virtual/2025/poster/116315,https://github.com/snu-mllab/Q-Palette,frozen_ptq,"Data-free codec selection and a data-aware Hessian/perplexity-guided mode are both frozen PTQ; neither retrains model parameters.","Quantized codes; trellis/vector/scalar codebooks; per-layer scheme and fusion decisions; scales and decoder metadata.",no,"The paper's constraint uses average bits per weight and a memory budget in bits; no byte-exact serialized artifact including codebooks/metadata was found.",literature-reported,"Report data-free and data-aware modes separately when needed; match quantizer set, calibration, codebooks, fusion, kernels, physical bytes, and evaluation.",2026-07-14
liftquant_block,LiftQuant,block correction only,he2026liftquant,LiftQuant: Continuous Bit-Width LLM via Dimensional Lifting and Projection,"Liulu He; XuanAng Liu; Juntao Liu; Taolue Feng; Ting Lu; Chunsheng Gan; Zhiyv Peng; Yuan Du; Huanrui Yang; Yijiang Liu; Li Du",2026,"ICML 2026 Spotlight",https://arxiv.org/abs/2606.04050,https://github.com/Heliulu/LiftQuant,backward_assisted,"Block-output reconstruction optimizes lifted/projection correction state with backward passes while the pretrained base is the reference.","Lifted low-bit codes; projection/correction state; scales, layer descriptors, and any kernel padding/alignment.",no,"Continuous logical bit-width and performance/speed are reported; no complete physical serialized artifact byte enumeration was found.",literature-reported,"Mechanism-only B-track until a protocol-matched full reproduction exists; charge projection/correction state and do not mix optional end-to-end results.",2026-07-14
liftquant_e2e,LiftQuant,optional end-to-end correction,he2026liftquant,LiftQuant: Continuous Bit-Width LLM via Dimensional Lifting and Projection,"Liulu He; XuanAng Liu; Juntao Liu; Taolue Feng; Ting Lu; Chunsheng Gan; Zhiyv Peng; Yuan Du; Huanrui Yang; Yijiang Liu; Li Du",2026,"ICML 2026 Spotlight",https://arxiv.org/abs/2606.04050,https://github.com/Heliulu/LiftQuant,fine_tuned,"Optional global causal-language-model recovery updates compression/correction state end to end.","Final lifted low-bit model plus learned projection/correction state and all serializer metadata.",no,"Continuous logical bit-width and performance/speed are reported; no complete physical serialized artifact byte enumeration was found.",literature-reported,"C-track only; disclose training data/tokens/steps/compute and exported state. Never rank its recovery result as frozen PTQ.",2026-07-14
fptquant,FPTQuant,locally and end-to-end learned function-preserving transforms,vanbreugel2026fptquant,FPTQuant: Function-Preserving Transforms for LLM Quantization,"Boris van Breugel; Yelysei Bondarenko; Paul N. Whatmough; Markus Nagel",2026,"ICML 2026 per the official ICML listing and current arXiv metadata; an older OpenReview listing says ICLR 2026",https://arxiv.org/abs/2506.04985,not_found_in_primary_sources,fine_tuned,"Function-preserving transforms are trained locally and end to end to match quantized and full-precision outputs.","Transformed quantized weights; any non-mergeable dynamic scaling state/operations; quantization and layout metadata.",no,"INT4 configuration, latency, and speedup are reported; no complete serialized output-file byte count was found.",literature-reported,"Training-assisted W4A4 system track; match learned-transform training budget, W/A scope, mergeability, runtime ops, physical bytes, hardware, and evaluation.",2026-07-14
srr,SRR,structured residual reconstruction PTQ,cho2026srr,Preserve-Then-Quantize: Balancing Rank Budgets for Quantization Error Reconstruction in LLMs,"Yoonjun Cho; Dongjae Jeon; Soeun Kim; Moongyu Jeon; Albert No",2026,ICML 2026,https://ai-isl.github.io/srr,https://github.com/cyoonjun/srr,frozen_ptq,"Theory-guided closed-form rank split preserves a dominant subspace before quantization and reconstructs the residual; QPEFT results are excluded.","Base quantized weights plus preserved and residual low-rank factors and scale/layout metadata.",no,"Bit width and rank-budget results are reported; no complete serialized artifact byte count including all factors was found.",literature-reported,"Match total rank and factor precision, base quantizer, scaling, tensor scope, physical bytes, and evaluation; keep QPEFT cells in a fine-tuned track.",2026-07-14
serq,SERQ,saliency-aware low-rank error reconstruction,park2026serq,SERQ: Saliency-Aware Low-Rank Error Reconstruction for LLM Quantization,"Yeonsik Park; Hyeonseong Kim; Seungkyu Choi",2026,ICLR 2026,https://openreview.net/forum?id=nFjj8NEBqv,not_found_in_primary_sources,frozen_ptq,"Static activation flattening, saliency-aware decomposition, and offline permutation; no iterative model fine-tuning is described.","Quantized weights/activations plus a single low-rank compensation matrix, scales, and permutation metadata.",no,"W4A8/W4A4 configurations, rank, latency, and calibration complexity are reported; no complete serialized artifact byte count was found.",literature-reported,"W4A4 scope differs from weight-only experiments; match W/A format, rank/precision, permutation payload, physical bytes, kernels, and evaluation.",2026-07-14
rescomp,ResComp,compensation-aware residual correction,li2026rescomp,Rethinking Residual Errors in Compensation-based LLM Quantization,"Shuaiting Li; Juncan Deng; Kedong Xu; Rongtao Deng; Hong Gu; Minghan Jiang; Haibin Shen; Kejie Huang",2026,ICLR 2026,https://arxiv.org/abs/2604.07955,https://github.com/list0830/ResComp,frozen_ptq,"Closed-form/sequential compensation aligns to original full-precision outputs without global fine-tuning.","Base quantized codes/scales plus any compensation state that is not absorbed into those codes; serializer metadata.",no,"Bit width and accuracy are reported; no byte-exact deployable artifact enumeration was found.",literature-reported,"Match GPTQ/GPTAQ base, compensation order, calibration, tensor scope, surviving state, physical bytes, and evaluation.",2026-07-14
interplay_sq,Effective Interplay S+Q,max-scaled quantization plus magnitude sparsity,harma2025effective,Effective Interplay between Sparsity and Quantization: From Theory to Practice,"Simla Burcu Harma; Ayan Chakraborty; Elizaveta Kostenok; Danila Mishin; Dongho Ha; Babak Falsafi; Martin Jaggi; Ming Liu; Yunho Oh; Suvinay Subramanian; Amir Yazdanbakhsh",2025,ICLR 2025 Spotlight,https://openreview.net/forum?id=wJv4AIt4sK,https://github.com/parsa-epfl/quantization-sparsity-interplay,frozen_ptq,"Deterministic magnitude sparsity and max-scaled encoding are analyzed without gradient training; order and compound error are explicit.","Sparse quantized values; scale state; mask/index or N:M layout; ordering and container metadata.",no,"Sparsity/quantization error and hardware effects are reported; no full serialized endpoint audit was found.",literature-reported,"Closest interaction-theory prior. Its transformation-level non-orthogonality differs from our signed local-PSD cross term; neither may be described as the first after this work. The author project page links the official implementation.",2026-07-16
obr,OBR,Hessian joint quantization and sparsification,guo2026optimal,Optimal Brain Restoration for Joint Quantization and Sparsification of LLMs,"Hang Guo; Yawei Li; Luca Benini",2026,ICLR 2026,https://openreview.net/forum?id=VQIvBpL5ag,https://github.com/csguoh/OBR,frozen_ptq,"A second-order surrogate yields closed-form group error compensation; compensation is folded and requantized rather than trained end to end.","Final sparse low-bit weights; masks or N:M layout; scales/zero-points; any unfused rotation; grouping and container metadata.",no,"Equivalent bit width, memory and speed are reported; no complete serialized container audit was found.",literature-reported,"Closest Hessian Q/S comparator. Match W/A/KV scope, sparsity, calibration, folded-state proof, physical sparse layout, kernels and evaluation.",2026-07-16
choi_ecsq,Hessian ECSQ,Hessian-weighted quantization plus Huffman/ECSQ,choi2017towards,Towards the Limit of Network Quantization,"Yoojin Choi; Mostafa El-Khamy; Jungwon Lee",2017,ICLR 2017,https://openreview.net/forum?id=rJ8uNptgl,not_found_in_primary_sources,backward_assisted,"Diagonal task-Hessian weighting drives k-means or entropy-constrained scalar quantization; optional fine-tuning is a separate intervention.","Variable-length code stream; codebook or reconstruction LUT; code lengths/tree; tensor and container metadata.",no,"Compression ratios and component coding formulas are reported; no complete self-describing file with alignment/hash audit was found.",literature-reported,"Historical non-LLM scope but decisive novelty prior: Hessian plus rate/entropy coding is not new.",2026-07-16
optimal_formats,Optimal Formats,variable-length formats and Fisher allocation,orr2025optimal,Optimal Formats for Weight Quantisation,"Douglas Orr; Luka Ribar; Carlo Luschi",2025,arXiv 2025 revised 2026,https://arxiv.org/abs/2505.12988,not_found_in_primary_sources,backward_assisted,"Distributional format analysis is data-free; the Fisher cross-layer allocation path uses loss-sensitivity statistics and is kept in the backward-assisted lane.","Actual variable-length streams; symbol/code tables; per-tensor format allocation; scales and container metadata.",no,"Average/sample code length and Huffman/bzip2 experiments are reported; no complete model artifact byte audit was found.",literature-reported,"Match the entropy coder and Fisher computation budget. This is a direct precedent for format-aware and Fisher-aware rate allocation.",2026-07-16
projq,ProjQ,orthogonal projection for quantization plus low-rank adapters,yu2026projq,ProjQ: Project-and-Quantize for Adapter-Aware LLM Compression,"Wenya Yu; Chao Zhang; Li Wang; Samson Lasaulce; Merouane Debbah",2026,ICML 2026,https://arxiv.org/abs/2606.00494,https://github.com/yy9301/ProjQ,fine_tuned,"Alternating orthogonal projection shapes quantization error toward the low-rank adapter subspace; main experiments include downstream adaptation.","Base codec; both low-rank factors; any non-folded projection state; adapter and container metadata.",no,"Bit-width and loss results are reported; no frozen same-byte full-file comparison was found.",literature-reported,"Orthogonality-based Q/L coordination is not a first claim; isolate frozen compensation from downstream LoRA before direct comparison.",2026-07-16
