experiment_id,type,claim_id,dataset,metric,baselines_involved,our_method_variant,expected_outcome,result_status,notes,training_lane,evidence_tier,models,seeds,tensor_scope,rate_definition,source_or_output
EXP-SCALE-PYTHIA160M,scaling,C8;C12,"WikiText-2 preregistered splits","PPL; NLL; exact bytes; normalized Hessian loss; marginal NLL per byte","Q-only; Q-block-scale; Q-S-naive; Q-S-OBS; Q-L; Strict-QSL; relaxed-QSL","all current native endpoints","Test whether current component ordering persists at larger scale without assuming it does",planned,"Run a resource pilot before the confirmatory seed set",native,planned,EleutherAI/pythia-160m,"3 pilot; 8 confirmatory if feasible","full eligible linear scope and a separately labelled MLP-only diagnostic","exact serialized bytes at matched within-model targets","results/scale_pythia160m_YYYYMMDD/"
EXP-SCALE-PYTHIA410M,scaling,C8;C12,"WikiText-2 preregistered splits","PPL; NLL; exact bytes; normalized Hessian loss; marginal NLL per byte","Q-only; Q-block-scale; Q-S-naive; Q-S-OBS; Q-L; Strict-QSL; relaxed-QSL","all current native endpoints","Measure model-size dependence; no sign is precommitted",planned,"Gate confirmatory count on measured memory and runtime",native,planned,EleutherAI/pythia-410m,"3 pilot; 8 confirmatory if feasible","full eligible linear scope and a separately labelled MLP-only diagnostic","exact serialized bytes at matched within-model targets","results/scale_pythia410m_YYYYMMDD/"
EXP-SCALE-PYTHIA1B,scaling,C8;C12,"WikiText-2 preregistered splits","PPL; NLL; exact bytes; normalized Hessian loss; marginal NLL per byte","Q-only; Q-block-scale; Q-S-OBS; Q-L; Strict-QSL","resource-feasible native endpoint subset followed by full set if feasible","Establish whether the allocator remains tractable and directionally useful at one-billion-parameter scale",planned,"Do not reduce tensor scope silently; disclose any staged endpoint subset",native,planned,EleutherAI/pythia-1b,"3 pilot; confirmatory count after resource audit","full eligible linear scope unless explicitly labelled","exact serialized bytes at matched within-model targets","results/scale_pythia1b_YYYYMMDD/"
EXP-TRANSFER-QWEN,architecture_transfer,C8;C12,"WikiText-2 plus tokenizer-native held-out evaluation","PPL; NLL; exact bytes; normalized Hessian loss","Q-only; Q-block-scale; Q-S-OBS; Q-L; Strict-QSL","all architecture-compatible native endpoints","Test whether conclusions transfer beyond Pythia; no sign is precommitted",planned,"Verify gated/MLP tensor mapping and tokenizer protocol before execution",native,planned,"Qwen/Qwen2.5-0.5B; Qwen/Qwen2.5-1.5B","3 pilot per model; confirmatory count after compatibility audit","explicit full eligible linear scope","exact serialized bytes at matched within-model targets","results/transfer_qwen25_YYYYMMDD/"
EXP-FULL-TENSOR-SCOPE,scope_ablation,C1;C8,"WikiText-2 preregistered splits","PPL; exact bytes; per-module byte and loss contribution","selected-MLP scope; full eligible linear scope","strict allocator under two explicit scopes","Quantify how the six-tensor probe differs from full eligible compression",planned,"Never combine bytes or metrics across unequal tensor manifests in one ranking",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m",8,"two separately named manifests","exact bytes within each manifest only","results/full_tensor_scope_YYYYMMDD/"
EXP-RATE-SWEEP,rate_distortion,C6;C12,"WikiText-2 preregistered splits","PPL delta; NLL delta; exact bytes; gain per byte","Q-only; Q-block-scale; Q-S-OBS; Q-L; Strict-QSL","comfort-zone exact-byte allocator","Estimate Pareto fronts and locate discrete breakpoints; no monotonic dominance is assumed",planned,"Include current target ratio 0.258 and predeclared lower/higher targets after feasibility audit",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m",8,"fixed within-model tensor manifests","physical file byte budgets including alignment","results/exact_rate_sweep_YYYYMMDD/"
EXP-ABL-ALL,ablation_program,C3;C4;C5;C6,"preregistered validation/test windows","endpoint NLL/PPL; exact bytes; stationarity; pairwise rho_H; proxy error","byte accounting; block scale; sparse OBS; low rank; geometry; endpoint gate","all native component replacements and removals","Test each claimed mechanism under matched scope/rate without assuming a positive ablation",planned,"Umbrella contract for EXP-ABL-BYTE-ACCOUNTING, EXP-ABL-BLOCK-SCALE, EXP-ABL-SPARSE-OBS, EXP-ABL-LOWRANK, EXP-ABL-GEOMETRY, and EXP-ABL-ENDPOINT-GATE; all remain unexecuted beyond the bounded/smoke diagnostics.",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m",8,"fixed within-model tensor manifests","exact serialized bytes with identical within-ablation scopes","results/ablation_program_YYYYMMDD/"
EXP-ABL-BYTE-ACCOUNTING,ablation,C1;C6,"same endpoint candidates as rate sweep","selected allocation; physical bytes; PPL","Logical-rate-allocator; Strict-QSL","exact-byte allocator versus logical-value allocator","Test whether explicit metadata/alignment charging changes component selection and endpoint ranking",planned,"Current legacy reversal motivates but does not replace this multi-seed ablation",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m",8,"fixed within-model tensor manifests","logical diagnostic versus strict physical rate","results/ablation_byte_accounting_YYYYMMDD/"
EXP-ABL-BLOCK-SCALE,ablation,C5;C6,"WikiText-2 preregistered splits","PPL; NLL; exact scale bytes; marginal NLL per byte","Q-only; Q-block-scale; AWQ mechanism context","tensor/block/component scale variants","Measure where additional scale granularity stops paying for its bytes",planned,"Predeclare block sizes after tensor divisibility check; report every scale payload",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m",8,"fixed within-model tensor manifests","exact serialized bytes","results/ablation_block_scale_YYYYMMDD/"
EXP-ABL-SPARSE-OBS,ablation,C5;C6,"WikiText-2 preregistered splits","PPL; NLL; identical-support bytes; stationarity residual","Q-S-naive; Q-S-OBS; SparseGPT; Wanda","fixed-support sparse value repair","Test whether OBS improves already-paid support across seeds and support densities",planned,"Separate support selection from value re-estimation",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m",8,"fixed within-model tensor manifests","identical bytes within naive/OBS pairs","results/ablation_sparse_obs_YYYYMMDD/"
EXP-ABL-LOWRANK,ablation,C5;C6,"WikiText-2 preregistered splits","PPL; NLL; factor bytes; marginal NLL per byte","Q-only; Q-L; SliderQuant mechanism context","rank and factorization variants","Measure discrete rank breakpoints and index-free repair efficiency",planned,"Charge both factors and descriptors; no fractional-rank interpolation as a physical point",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m",8,"fixed within-model tensor manifests","exact serialized factor bytes","results/ablation_lowrank_YYYYMMDD/"
EXP-ABL-GEOMETRY,ablation,C3;C6,"WikiText-2 preregistered splits","endpoint NLL; exact bytes; pairwise rho_H; cross-term prediction error","self-cost-only allocator; cross-term-aware allocator; single-repair best","geometry-aware allocation","Test whether pairwise cross terms improve selection beyond independent marginal scores",planned,"Report cancellation and orthogonality separately",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m",8,"fixed within-model tensor manifests","same exact-byte target for allocator variants","results/ablation_geometry_YYYYMMDD/"
EXP-ABL-ENDPOINT-GATE,ablation,C4;C6,"WikiText-2 preregistered splits","proxy rank correlation; endpoint NLL; selection regret","proxy-only allocator; endpoint-gated allocator","endpoint validation gate","Test whether epsilon-one validation avoids choices favored only by the local quadratic proxy",planned,"Use held-out validation for selection and fixed test for final reporting",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m",8,"fixed within-model tensor manifests","same exact-byte target","results/ablation_endpoint_gate_YYYYMMDD/"
EXP-LANDSCAPE-SCALE,diagnostic,C4;C6,"preregistered validation/test windows","linear/quadratic coefficients; proxy/NLL correlation; endpoint fit error","all current native endpoints","13-point paths across layers, seeds, and models","Determine where the local comfort-zone approximation breaks; no universal threshold assumed",planned,"Only epsilon=1 is a physical endpoint",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m; EleutherAI/pythia-410m","8;8;3 pilot","fixed within-model tensor manifests","landscape diagnostics tied to exact endpoint artifacts","results/loss_landscape_scale_YYYYMMDD/"
EXP-BASE-A,external_main_comparison_program,C9;C12,"WikiText-2 preregistered splits","PPL; task accuracy; exact exported bytes; calibration/encoder cost","RTN; GPTQ; AWQ; Q-Palette-data-aware; DAQ; SparseGPT; Wanda; SpQR; HAS-VQ; ADMM-Q; SEPTQ; AAAC","comfort-zone allocator and native endpoints","Run A0/A1 controls in matched no-backward lanes without precommitting a winner",planned,"Umbrella contract for EXP-BASE-A0, EXP-BASE-A1-QUANT, EXP-BASE-A1-SPARSE, and EXP-BASE-A1-HYBRID. B/C methods are excluded and unavailable implementations remain literature-reported.",mixed,planned,"selected feasible models from native scale matrix",8,"matched full eligible linear scope","all exported codes, scales, support, factors, transforms, codebooks, descriptors, padding, and alignment bytes","results/baseline_a_YYYYMMDD/"
EXP-BASE-A0,external_main_comparison,C9;C12,"WikiText-2 preregistered splits","PPL; task accuracy; exact bytes; encoder cost","RTN","comfort-zone allocator","Provide a common data-free reference; no superiority is precommitted",planned,"A0 table only",A0,planned,"selected feasible models from native scale matrix",8,"matched full eligible tensor scope","exact serialized bytes","results/baseline_a0_YYYYMMDD/"
EXP-BASE-A1-QUANT,external_main_comparison,C9;C12,"WikiText-2 preregistered splits","PPL; task accuracy; exact bytes; calibration cost","GPTQ; AWQ; Q-Palette-data-aware; DAQ","comfort-zone allocator","Compare calibrated no-backward quantization under matched protocol; no winner assumed",planned,"Official/audited code required for numeric cells",A1,planned,"selected feasible models from native scale matrix",8,"matched full eligible tensor scope","exact exported artifact bytes","results/baseline_a1_quant_YYYYMMDD/"
EXP-BASE-A1-SPARSE,external_main_comparison,C9;C12,"WikiText-2 preregistered splits","PPL; task accuracy; exact sparse bytes; calibration cost","SparseGPT; Wanda","Q-S-OBS; comfort-zone allocator","Compare pruning and repaired sparse payload under matched support formats",planned,"Sparse kernel speed is outside this accuracy-rate table unless separately measured",A1,planned,"selected feasible models from native scale matrix",8,"matched full eligible tensor scope","deployable sparse encoding or clearly labelled research artifact bytes","results/baseline_a1_sparse_YYYYMMDD/"
EXP-BASE-A1-HYBRID,external_main_comparison,C9;C12,"WikiText-2 preregistered splits","PPL; task accuracy; exact payload bytes; calibration cost","SpQR; HAS-VQ; ADMM-Q; SEPTQ; AAAC","Strict-QSL; comfort-zone allocator","Compare heterogeneous no-backward mechanisms where audited implementations exist",planned,"Methods without code remain literature-reported and receive no filled measured cell",A1,planned,"selected feasible models from native scale matrix",8,"matched full eligible tensor scope","all codebook, index, factor, transform, descriptor, and alignment bytes","results/baseline_a1_hybrid_YYYYMMDD/"
EXP-BASE-B,external_separate_track,C9;C10,"WikiText-2 protocol plus method-required calibration disclosed","PPL; task accuracy; exact bytes; backward tokens/steps; peak memory","SqueezeLLM; OmniQuant; SliderQuant; LiftQuant-block","native endpoints shown only as context","Measure backward-assisted local correction in its own compute-qualified track",planned,"Never label B methods as no-backward PTQ",B,planned,"method-compatible subset with matched model checkpoints","at least 3 where feasible; disclose method protocol","matched tensor and W-only/W-A scope where possible","exact exported bytes plus backward budget","results/baseline_b_YYYYMMDD/"
EXP-BASE-C,external_separate_track,C9;C10,"method-required training/evaluation corpora disclosed","PPL; task accuracy; exact bytes; training tokens/steps; peak memory","QuIP-sharp; SpinQuant; LiftQuant-E2E; HESTIA","native endpoints shown only as frozen-PTQ context","Characterize global recovery/QAT frontiers without implying protocol equivalence",planned,"Literature-reported cells and reproduced cells must be visually distinct",C,planned,"method-compatible subset with matched model checkpoints","method protocol; repeat count disclosed","matched tensor and W/A/KV scope only when possible","exact exported bytes plus full recovery budget","results/baseline_c_YYYYMMDD/"
EXP-DATASET-TRANSFER,robustness,C8;C12,"WikiText-2; C4; Penn Treebank; long-context corpus selected before execution","PPL; NLL; exact bytes; ranking consistency","Q-only; Q-block-scale; Q-S-OBS; Q-L; Strict-QSL","comfort-zone allocator","Test dataset sensitivity without assuming WikiText ordering transfers",planned,"Calibration and evaluation corpora must be disjoint and documented",native,planned,"EleutherAI/pythia-70m; EleutherAI/pythia-160m",8,"fixed within-model tensor manifests","same artifact evaluated on multiple held-out corpora","results/dataset_transfer_YYYYMMDD/"
EXP-ZEROSHOT,downstream,C8;C12,"predeclared lm-evaluation task suite","task accuracy; normalized accuracy; exact bytes","selected A0/A1 controls; Q-L; Strict-QSL","comfort-zone allocator","Check whether perplexity trends correspond to downstream behavior; no gain assumed",planned,"Freeze task versions and prompts before running",mixed,planned,"selected feasible models from native scale matrix",8,"matched full eligible tensor scope","exact serialized bytes","results/zeroshot_YYYYMMDD/"
EXP-EFF-RESOURCES,efficiency,C11,"encoder and decoder benchmark corpus","wall time; peak RSS/VRAM; artifact bytes; encode/decode throughput","all native endpoints; reproduced external baselines","comfort-zone allocator and research codec","Measure resource cost and explicitly separate research-codec decode from production inference",planned,"Hardware, software, warmup, repetitions, and error bars required",mixed,planned,"selected small and medium models","3 timed repetitions per completed seed subset","matched tensor scope","physical bytes; deployment format labelled separately","results/efficiency_resources_YYYYMMDD/"
EXP-LIT-METHOD-MATRIX,literature_comparison,C9;C10;C14,"primary papers and official repositories","training lane; compressed object; objective; updated state; payload fields; reproduction status","all rows in the 59-row audited method matrix","N/A","Maintain protocol taxonomy without converting it into a measured leaderboard",verified,"evidence_tier=literature-reported; ten D-lane multimodal/video rows are scope-separated from frozen LLM weight PTQ; titles, repositories, training lanes, compressed objects, and payload assumptions were checked from primary sources through 2026-07-16",mixed,literature-reported,N/A,N/A,"method-specific weight, activation, cache, or attention scopes","paper-reported rate and speed definitions recorded but not normalized as measured evidence","results/compression_method_comparison_20260713/method_matrix.csv"
EXP-MULTIMODAL-STACK-20260716,multimodal_system_validation,C14,"fixed HunyuanVideo-13B prompt/seed/resolution/frame/step/CFG protocol","paired BF16 PSNR; VBench/VBench-Long; temporal consistency; static bytes; runtime-state bytes; peak VRAM; attention-only latency; end-to-end latency","BF16 dense; W/A PTQ; sparse/structured attention; cache; PTQ+sparse; PTQ+cache; sparse+cache","exact-byte weight Q/S/L/OBS plus W/A PTQ and gated sink/global-low-rank, local/cyclic, dynamic-sparse, dense-fallback attention with cache and temporal reuse","Measure interactions and a real joint Pareto frontier without multiplying standalone speedups",planned,"Every stage needs leave-one-component-out and pairwise interaction ablations. QuantSparse and CacheQuant motivate joint correction, while read-only visual diagnostics motivate effective-rank/sink/locality/route-stability gates. No numeric outcome is precommitted.",D,planned,HunyuanVideo-13B,"fixed prompt seeds plus repeated timing runs","full declared model, activation, attention, cache, and runtime-state scope","separate static artifact bytes, runtime persistent bytes, peak memory, and measured end-to-end latency under one workload","docs/multimodal_spectral_stacked_compression_strategy_20260716.md"
