method_id,method,variant,lane,sub_lane,lane_definition,scope,gradient_training_signal,updated_state,objective,payload_must_count,strict_ptq_direct_comparison,comparison_conditions,reproduction_status,primary_paper,official_repo,evidence_note,verified_as_of
qtip,QTIP,trellis-coded quantization,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only PTQ with incoherence processing and trellis coding,no end-to-end fine-tuning asserted for the core PTQ path; calibration/second-order information guides quantization,trellis-coded weights and decode state,minimize second-order weighted quantization distortion under a compressed trellis representation,trellis streams/state/decoder parameters; scales; RHT signs/seeds; tensor exceptions; padding/header/alignment,yes_if_protocol_matched,"match code rate, decoder state, calibration, transform representation, serialized bytes, kernels, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2406.11235,https://github.com/Cornell-RelaxML/qtip,"Trellis decoder and transform state are part of deployable payload, not free metadata.",2026-07-16
aqlm,AQLM,additive quantization,C,C,C：使用全局 CE/KL 梯度优化、QAT、下游 PEFT/微调，或主结果流水线以任务损失恢复全模型行为。,weight-only additive-codebook compression; main reported pipeline includes blockwise and end-to-end optimization,gradient optimization and end-to-end KL-distillation are used in the main pipeline,"additive code indices, codebooks, scales, and optimized quantization state",block reconstruction followed by global output-distribution recovery,additive-code indices; all codebooks; scales; partition/scheme metadata; unquantized tensors; padding/header/alignment,mechanism_only,"deployment frontier can be compared at actual bytes, but training data/steps/compute must be disclosed and it is not frozen PTQ",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2401.06118,https://github.com/Vahe1994/AQLM,Classified by the main reported training pipeline rather than by nominal weight bit rate alone.,2026-07-16
omniquant,OmniQuant,learnable weight/activation PTQ,B,B,B：冻结 dense pretrained base 的校准型 PTQ；允许为局部重构、曲率统计执行 backward/HVP/STE，或优化最终可融合的量化/辅助状态，但不做全局任务恢复。,calibration-optimized PTQ for weights and optionally activations,calibration backpropagation optimizes clipping and learnable equivalent transformations; dense pretrained weights remain frozen,"quantizer clipping/scale state and transform parameters, folded when supported",block/layer output reconstruction on calibration samples,weight codes/scales/zero-points; activation quantizer state if in scope; any non-folded LET parameters; padding/header/alignment,yes_if_protocol_matched,"match W-only versus W/A scope, calibration tokens, gradient steps, updated variables, compute, actual exported bytes, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2308.13137,https://github.com/OpenGVLab/OmniQuant,The learned PTQ parameters require lane B even though the pretrained dense weights are frozen.,2026-07-16
spinquant,SpinQuant,learned rotations for quantization,C,C,C：使用全局 CE/KL 梯度优化、QAT、下游 PEFT/微调，或主结果流水线以任务损失恢复全模型行为。,rotation-assisted PTQ for weights and activations/KV depending protocol,"pretrained base weights are frozen, but the official optimized-rotation path trains global R1 and per-layer R2 with Hugging Face Trainer on WikiText2 causal-LM loss",global and per-layer rotation parameters are learned under full-model causal-LM behavior; rotations may be fused only when export proves equivalence,global causal language-model loss under simulated low-bit quantization,codes/scales/zero-points; stored rotation matrices or signs/seeds/factors; unfused runtime transforms; padding/header/alignment,mechanism_only,"treat optimized SpinQuant as a global-recovery track: match W/A/KV scope, corpus/tokens/epochs/optimizer, rotation export/folding, actual artifact bytes, kernels, and evaluation; do not rank it as local-reconstruction B PTQ",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2405.16406,https://github.com/facebookresearch/SpinQuant,Official optimize_rotation.py freezes the dense base but calls Trainer.train() on causal-LM data; the global task objective places this optimized path in C. Learned rotations are not free unless demonstrably fused or regenerated from charged metadata.,2026-07-16
sliderquant,SliderQuant,default; fused channel scales and rank-4 LoRA,B,B,B：冻结 dense pretrained base 的校准型 PTQ；允许为局部重构、曲率统计执行 backward/HVP/STE，或优化最终可融合的量化/辅助状态，但不做全局任务恢复。,calibration-optimized W-only or W/A PTQ with inter-layer windows and intra-layer incremental quantization,AdamW optimizes local calibration reconstruction on 128 samples of length 2048; 20 epochs by default and 60 for W2A16; pretrained dense base stays frozen,learnable channel scales and rank-4 LoRA on all linear layers; the default export absorbs both into adjacent/original weights,sliding-window output reconstruction under simulated low-bit quantization,exported codes/scales/zero-points; channel-scale or LoRA state only if export fails to merge it; scheme/group IDs; uncompressed exceptions; padding/header/alignment,yes_if_protocol_matched,"match W-only versus W/A scope, calibration corpus and 128x2048-token budget, 20/60 epochs, optimizer, window schedule, group size, merged-state proof, actual bytes, compute, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2603.25284,https://github.com/deep-optimization/SliderQuant,"B denotes local calibration reconstruction with a frozen dense base; rank-4 LoRA here is auxiliary calibration state, not downstream PEFT.",2026-07-16
sliderquant_plus,SliderQuant,SliderQuant+ with runtime rotations,B,B,B：冻结 dense pretrained base 的校准型 PTQ；允许为局部重构、曲率统计执行 backward/HVP/STE，或优化最终可融合的量化/辅助状态，但不做全局任务恢复。,SliderQuant calibration path augmented with non-absorbable Hadamard transformations for W/A quantization,uses the same frozen-base AdamW calibration path and local sliding-window reconstruction as SliderQuant; rotation execution is an added deployment mechanism,fused channel scales and rank-4 LoRA plus a fixed runtime Hadamard transform plan,sliding-window output reconstruction under simulated low-bit quantization with rotation transformations,"exported codes/scales/zero-points; any non-merged auxiliary state; transform locations and signs/seeds/factors; non-absorbable Hadamard runtime operations, kernels and workspace; scheme/group IDs; padding/header/alignment",yes_if_protocol_matched,"match W/A scope, calibration and epoch budget, window/rotation protocol, actual payload, transform runtime and workspace, kernels, latency, and evaluation; do not mix with zero-extra-cost SliderQuant",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2603.25284,https://github.com/deep-optimization/SliderQuant,Separated because SliderQuant+ adds non-absorbable Hadamard transformations and explicit inference-time cost.,2026-07-16
liftquant_block,LiftQuant,block correction only,B,B,B：冻结 dense pretrained base 的校准型 PTQ；允许为局部重构、曲率统计执行 backward/HVP/STE，或优化最终可融合的量化/辅助状态，但不做全局任务恢复。,lifted low-bit weight compression with blockwise correction,"paper/README protocol says STE block correction on 4096 RedPajama samples of length 2048 and 2 epochs; the pinned parser instead exposes nsamples1/nsamples2 and epochs1/epochs2, so the executable two-stage mapping remains unresolved; no global cross-entropy",binary lifted code Wq and fused transform T*=M T^-1; dense pretrained model otherwise frozen,block output-MSE reconstruction,"1-bit lifted codes including ceil(IC/d) padding; per-output scales; either fused decoder T* or unfused M plus inverse-whitening factors, following the actual artifact and never double-counting equivalent representations; uncompressed tensors; headers/alignment",mechanism_only,"paper targets 2–3-bit regimes; the current project's 4-bit Q/S/L probe is mechanism-only. A strict run must resolve README --nsamples/--epochs versus the two-stage parser, match model/data/rate, and charge stored fused T* OR stored M plus inverse factors; paper reports FP16 transform overhead about 0.008–0.011 bpw at 70B",official_code_audited; official_unpatched_qwen_smoke_failed; compatibility_patched_layer0_smoke_passed; full_external_reproduction_pending,https://arxiv.org/abs/2606.04050,https://github.com/Heliulu/LiftQuant,"Pinned 72b3875 audit: unmodified Qwen2.5 layer-0 smoke fails on missing Catcher.attention_type under Transformers 4.57; a one-line metadata-forwarding compatibility patch completes a bounded 8-window, 1+1 epoch, layer-0 smoke and writes an artifact, but no PPL/task metric or full-model reproduction was run.",2026-07-16
liftquant_e2e,LiftQuant,optional end-to-end correction,C,C,C：使用全局 CE/KL 梯度优化、QAT、下游 PEFT/微调，或主结果流水线以任务损失恢复全模型行为。,lifted low-bit compression followed by global quantization-parameter optimization,cross-entropy optimization on 4096 samples of length 4096 for 1 epoch after block correction,continuous quantization parameters such as scales/transforms; quantized representation retained,global language-model cross-entropy,1-bit lifted codes and padding; scales; either fused T* or unfused M plus inverse-whitening factors; all other surviving optimized parameters; uncompressed tensors; headers/alignment; never double-count equivalent transform representations,mechanism_only,"paper main results use this stage, so report training corpus/tokens/steps/compute and exact payload; pinned 72b3875 e2efinetune.py cannot reach --help because datautils_block is absent, and unknown extra_args would be silently retained; it is not a strict frozen-PTQ comparison",official_code_audited; e2e_entrypoint_blocked_missing_datautils_block; external_reproduction_pending,https://arxiv.org/abs/2606.04050,https://github.com/Heliulu/LiftQuant,"Exactly separated from the block-only row: main paper results use E2E, while the repository calls it optional for deployment. The current pinned entrypoint is import-blocked and has not been executed.",2026-07-16
d2quant,D²Quant,DSQ plus DAC,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only PTQ with scale/rounding search and activation-mean correction,no backpropagation or dense fine-tuning; DSQ alternates closed-form/statistical scale and rounding updates; DAC uses calibration forwards,quantized weights/scales plus per-layer hidden-size LayerNorm bias correction; a column scale may be absorbed when export verifies it,weight reconstruction for DSQ and post-attention mean-shift cancellation for DAC,base codes/scales/zero-points; DAC LayerNorm bias in its stored dtype for every layer; non-absorbed DSQ/rotation state; padding/header/alignment,yes_if_protocol_matched,"match calibration, base codec, corrected layers, actual absorbed state, DAC bias bytes, artifact format, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2602.02546,https://github.com/XIANGLONGYAN/D2Quant,A useful small-parameter repair control: zero overhead is allowed only for a scale actually fused into an existing stored scale.,2026-07-16
admm_q,ADMM-Q,joint Hessian-weighted discrete solver,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,layer-wise post-training weight quantization; also usable as the weight-quantizer step inside W/A pipelines,"no model backpropagation or parameter fine-tuning; calibration activations form H=X^T X and ADMM alternates closed-form continuous updates, quantization projections, optional grid refresh, and pair-swap local search","final hardened quantized codes and fitted scale/zero-point; dense pretrained weights stay frozen and ADMM primal/dual iterates, eigendecomposition, Hessian, and search state are encoder-side only",jointly minimize Hessian-weighted layer reconstruction error under a discrete quantization constraint,packed codes; scale/zero-point; group/channel and clipping metadata; any separately deployed scaling/rotation state from the surrounding pipeline; unquantized tensors; padding/header/alignment; do not charge encoder-only ADMM/Hessian state unless an exporter serializes it,yes_if_protocol_matched,"match calibration tokens, Hessian damping, iteration/penalty/grid-refresh/local-search protocol, clipping and group/channel codec, surrounding transforms, actual serialized bytes, quantization time/memory, and held-out evaluation",no_official_repo_found_as_of_2026-07-14; literature_only; external_reproduction_pending,https://arxiv.org/abs/2605.11222,not_found_in_primary_sources,"ADMM is an iterative encoder-side discrete optimizer, not gradient training. The paper contains no official-code link and no author-designated repository was confirmed by the cutoff date.",2026-07-16
has_vq,HAS-VQ,Hessian-masked sparse vector quantization,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only PTQ with a vector-quantized dense body and sparse high-sensitivity residual feedback,"no backpropagation or trainable model update in the official implementation; 128 length-1024 WikiText-2 calibration forwards estimate diagonal activation second moments, followed by iterative k-means on masked weight blocks","vector index stream and codebooks for the dense body, per-channel scales, plus sparse residual values and their support; dense pretrained model otherwise frozen",minimize diagonal-Hessian-weighted distortion while reconstructing selected high-sensitivity coordinates exactly up to the stored residual precision,packed vector indices including block padding; every codebook centroid and dtype/dimension; channel scales; sparse residual values plus indices/bitmap/row pointers and their dtypes; sparsity/block/scheme metadata; unquantized tensors and biases; padding/header/alignment,yes_if_protocol_matched,"match model, calibration samples/tokens, diagonal statistic, block size, centroid count, k-means iterations/sampling, sparsity ratio, sparse codec, actual serialized bytes, kernel/decode path, and held-out evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2601.06959,https://github.com/VladimerKhasia/HASVQ,"The paper's BPP includes indices, codebooks, scales, and sparse residuals; strict exact-rate comparison still requires a real packed artifact rather than the analytical count used by the reference script.",2026-07-16
septq,SEPTQ,static-global selective GPTQ-style PTQ,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only layer-wise PTQ that leaves globally selected important weights unquantized and quantizes the remaining locations,"no gradient training or STE; 128 random length-2048 C4 calibration segments form a Hessian/Cholesky proxy, then a static global mask guides closed-form column-wise error-compensation updates",quantized codes at selected locations and updated higher-precision reserved weights at the complementary support; dense pretrained model is not fine-tuned,minimize constrained second-order layer reconstruction error while protecting a static global set of high-importance weights,packed quantized codes/scales/zero-points; every reserved higher-precision value and its support mask/indices unless a deployed mixed-format codec encodes support implicitly; ratio/block metadata; unquantized tensors; padding/header/alignment,yes_if_protocol_matched,"match calibration, Hessian damping/Cholesky, importance ratio, static-global mask rule, block size, reserved-value dtype, support codec, actual serialized bytes, and held-out evaluation",no_official_repo_found_as_of_2026-07-14; literature_only; external_reproduction_pending,https://arxiv.org/abs/2604.10091,not_found_in_primary_sources,The paper states a GPTQ-based implementation but does not designate a public official repository; selective support and higher-precision reserved values must be charged explicitly.,2026-07-16
aaac,AAAC,two-codebook activation-aware adaptive coding,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,4-bit weight-only PTQ with per-layer scalar codebooks,no gradients/Hessian; calibration activation weights enter scalar k-means codebook construction,"two codebooks per layer, quantized indices, and a per-group codebook selector",activation-weighted scalar clustering distortion,4-bit indices; normal scales/zero-points; two 16-entry BF16 codebooks per layer (64 bytes); selector bit per group unless safely encoded in an otherwise unused compatible scale sign bit; padding/header/alignment,yes_if_protocol_matched,"match 4-bit W-only scope, calibration, grouping, selector encoding/backend semantics, actual artifact bytes, and evaluation",no_official_repo_found_as_of_2026-07-14; literature_only; external_reproduction_pending,https://arxiv.org/abs/2605.08692,not_found_in_primary_sources,Payload rules are sourced from the paper/OpenReview artifact; no official GitHub repository was identified by the cutoff date.,2026-07-16
daq_delta,DAQ,Delta-Aware Quantization,A,A0,A：冻结稠密模型、无反向传播的 PTQ；A0：data-free，不使用校准样本或激活统计。,data-free FP8 quantization of post-training weight deltas relative to an available base checkpoint,"no calibration activations, Hessian, or backpropagation; coarse-to-fine scale search uses base and post-trained weights",standard FP8 quantized final model/scales; base checkpoint is an encoder-side prerequisite rather than deployment payload when already shared,maximize delta sign-preservation rate and cosine similarity,FP8 codes; block/per-channel scales; format metadata; padding/header/alignment; charge base checkpoint if the deployment scenario does not already possess it,mechanism_only,"narrow boundary: requires paired base/post-trained checkpoints and targets FP8 delta preservation, not generic sub-4-bit PTQ; sign/cosine are secondary diagnostics only",official_documentation_available; external_reproduction_pending,https://arxiv.org/abs/2603.22324,https://github.com/Tencent/AngelSlim/blob/main/docs/source/features/quantization/daq.md,"This is the 2026 Delta-Aware method, not the earlier Density-Aware DAQ; scope is intentionally narrow.",2026-07-16
q_palette,Q-Palette,data-free palette codec,A,A0,A：冻结稠密模型、无反向传播的 PTQ；A0：data-free，不使用校准样本或激活统计。,"weight-only data-free selection among non-uniform, vector, and trellis-style quantization palettes",no calibration dataset or model backpropagation for the core data-free codec/search path,per-layer or partition quantized streams and selected codec scheme,rate-distortion/information-theoretic codec selection,index or trellis streams; scales; required codebooks/LUTs; layer/partition scheme IDs; incoherence-transform signs/seeds/factors when enabled; fusion/merge plan when required; padding/header/alignment,yes_if_protocol_matched,"compare actual serialized bytes, not only information-theoretic bits; match model, tensor scope, codec search, kernels, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2509.20214,https://github.com/snu-mllab/Q-Palette,Closest exact-rate codec control in this registry; theoretical bit objectives do not substitute for packed artifact size.,2026-07-16
q_palette_data_aware,Q-Palette,data-aware Hessian/perplexity-guided palette codec,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,weight-only PTQ selecting mixed quantization schemes under memory or latency constraints,no retraining or trainable-parameter update; QTIP-style proxy Hessian and calibration/validation forward losses guide quantization and scheme selection,"per-layer or partition quantized streams, selected codec scheme, and fusion plan",proxy-Hessian quantization distortion plus measured validation perplexity degradation for mixed-scheme allocation,index or trellis streams; scales; required codebooks/LUTs; layer/partition scheme IDs; incoherence-transform signs/seeds/factors; fusion/merge plan; padding/header/alignment,yes_if_protocol_matched,"match proxy Hessian, calibration and scheme-selection data, hold selection data separate from final evaluation, memory/latency constraint, codec kernels, actual serialized bytes, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2509.20214,https://github.com/snu-mllab/Q-Palette,Separated from the data-free row because the paper and official artifacts report a distinct data-aware protocol without retraining.,2026-07-16
slim,SLiM,quantization + 2:4 sparsity + low-rank compensation,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,"one-shot joint weight quantization, semi-structured pruning, and low-rank repair",no gradient training in the core one-shot path; calibration statistics support pruning/closed-form compensation,quantized sparse base plus low-rank compensation factors,recover the quantization/pruning residual with a closed-form low-rank component,quantized values/scales; 2:4 mask/metadata; both low-rank factors and dtype/scales; optional adapter if used; padding/header/alignment,yes_if_protocol_matched,"use the core no-PEFT path for strict PTQ; match sparsity, rate, rank/dtype, actual sparse/repair bytes, kernels, and evaluation",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2410.09615,https://github.com/Mohammad-Mozaffari/slim,Optional PEFT must be reported separately in lane C; this row covers only the one-shot core.,2026-07-16
obr,OBR,closed-form group compensation,A,A1,A：冻结稠密模型、无反向传播的 PTQ；A1：使用校准样本、激活统计或闭式二阶量，但不做梯度更新。,joint quantization/sparsification with block or group residual compensation,closed-form/statistical repair without end-to-end backpropagation,the encoder computes group compensation and folds it into the final sparse low-bit weight before requantization; no separate compensation tensor is assumed at decode,cancel reconstruction residual under the method's groupwise approximation,final quantized/sparse weight codec; masks or N:M metadata; scales/zero-points; any unfused rotation; grouping metadata; padding/header/alignment; charge a compensation tensor only if an exporter actually retains one,yes_if_protocol_matched,"match calibration, W/A/KV and sparsity scope, codec, grouping, folded-state proof, actual sparse layout bytes, tensor coverage, kernels and evaluation",official_code_available; external_reproduction_pending,https://openreview.net/forum?id=VQIvBpL5ag,https://github.com/csguoh/OBR,ICLR 2026 OBR is a closest Hessian joint Q/S comparator. Its encoder-side compensation is folded into the exported sparse low-bit weight unless an inspected artifact proves otherwise.,2026-07-16
hestia,HESTIA,Hessian-guided differentiable ternary QAT,C,C,C：使用全局 CE/KL 梯度优化、QAT、下游 PEFT/微调，或主结果流水线以任务损失恢复全模型行为。,weight-only group-wise ternary quantization-aware training of pretrained LLM checkpoints,offline Hutch++ Hessian-trace calibration followed by full-model AdamW causal-LM QAT on 10B Ultra-FineWeb tokens; a temperature-controlled softmax relaxation is progressively hardened,latent model weights are globally optimized under the differentiable quantizer; tensor-wise temperature schedules guide training and the final target representation is ternary,global causal language-model loss under Hessian-sensitive soft-to-hard quantization annealing,"actual packed ternary codes rather than nominal 1.58 bits; group-128 scales; codebook/quantizer metadata; every excluded full-precision tensor such as non-linear components or lm_head; any state still required by the exported runtime; padding/header/alignment; optimizer, Hessian sketches and temperature schedules are training-only and exempt only if absent from the deployed artifact",mechanism_only,"treat as a trained upper-bound track: match initialization, 10B-token corpus and sequence length, global batch/optimizer/schedule, Hutch++ calibration, tensor coverage, actual exported artifact, kernels and evaluation; never compare it as frozen PTQ",official_code_available; external_reproduction_pending,https://arxiv.org/abs/2601.20745,https://github.com/hestia2026/Hestia,HESTIA belongs to C because the paper performs global causal-LM QAT; offline Hessian calibration does not turn the subsequent 10B-token AdamW optimization into PTQ.,2026-07-16
