ID,Phase,Title,Section_Path,Claim_ID,Evidence_Type,Experiment_ID,Result_Status,Description,Source_Policy,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Depends_On,Must_Verify,Notes
"E4","Experiment","Sweep exact rates and allocation granularity","N/A","C6;C12","experiment","EXP-RATE-SWEEP","planned","Measure strict exact-byte Pareto curves and test sparse-group, rank, and scale-block granularity.","N/A","0","N/A","Every plotted point round-trips, matches its byte budget, and has endpoint NLL plus provenance metadata.","TODO","0","E2;R3","yes","Logical-value curves may appear only as labelled diagnostics."
"E5","Experiment","Run A0 and A1 direct baselines","N/A","C9;C12","experiment","EXP-BASE-A","planned","Evaluate no-backward RTN, quantization, pruning, and hybrid controls under matched calibration, scope, rate, and evaluation.","N/A","0","N/A","Selected A0/A1 baselines have protocol-matched outputs or are marked unavailable with a documented reason.","TODO","0","R2;E2","yes","No B or C method enters this table."
"E6","Experiment","Run backward-assisted B track","N/A","C9","experiment","EXP-BASE-B","planned","Evaluate local backward-assisted methods in a separate track with calibration tokens, steps, and updated state disclosed.","N/A","0","N/A","Each B-track row reports backward budget, exported payload, exact bytes, and endpoint metrics without comparison-language implying no-backward parity.","TODO","0","R2;E3","yes","Includes methods such as SqueezeLLM, OmniQuant, SliderQuant, and LiftQuant block correction when runnable."
"E7","Experiment","Audit global-recovery C track","N/A","C9;C10","experiment","EXP-BASE-C","planned","Separate global task-recovery and QAT methods and record their optimization data, compute, and exported state.","N/A","0","N/A","C-track entries are either protocol-matched reproductions or clearly labelled literature-reported context with no direct frozen-PTQ ranking.","TODO","0","R2","yes","LiftQuant E2E remains blocked in the pinned audit until its entrypoint is repaired and verified."
"E8","Experiment","Complete component and geometry ablations","N/A","C3;C4;C5;C6","experiment","EXP-ABL-ALL","planned","Ablate OBS values, scale granularity, low-rank allocation, physical-rate charging, orthogonality terms, and endpoint validation.","N/A","0","N/A","Every high-priority component has a removal or replacement control and all outcomes include exact bytes and endpoint loss.","TODO","0","E2;R4","yes","Negative ablations remain in the report."
"E9","Experiment","Measure resources and deployment gap","N/A","C11","experiment","EXP-EFF-RESOURCES","planned","Measure encoder time, peak memory, decode time, artifact bytes, and the gap between the research codec and any deployment format.","N/A","0","N/A","Resource metrics identify hardware, software version, repetitions, tensor scope, and whether the format is research-only or deployable.","TODO","0","E3","yes","Do not claim inference speedup from file size alone."
"W1","Writing","Introduction","Introduction","C0;C1;C2","mixed","N/A","planned","Frame exact serialized rate, state the bounded strict negative result, and introduce the allocation question.","core","8","Figure 1 exact-byte problem schematic","The section gives tensor and seed scope beside every current number and states the performance contribution as planned.","TODO","0","R1;R2;R3","yes","Target approximately 0.70 main-text page."
"W2","Writing","Related work","Related Work","C9;C10","citation","N/A","n/a","Position quantization, pruning, low-rank correction, and hybrids by training dependence and payload.","frontier","16","Table 1 A0/A1/B/C taxonomy","The section cites primary sources, separates training lanes, and does not reproduce unverified numeric leaderboards.","TODO","0","R2","yes","Keep the section technical rather than chronological."
"W3","Writing","Problem formulation and exact rate","Problem Formulation and Exact Rate","C0;C1;C11","mixed","N/A","planned","Define rate scope, research codec, perturbations, task loss, Hessian metric, and exact-byte objective.","standard","5","Exact serialized payload schematic","All symbols and charged payload fields are defined and the deployment-format limitation is explicit.","TODO","0","R1;R4;E1","yes","Target approximately 0.85 main-text page."
"W4","Writing","Comfort-zone allocation method","Method: Comfort-Zone Repair Allocation","C0;C5;C6","mixed","N/A","planned","Describe candidate repairs, marginal gain per byte, discrete budget allocation, and endpoint acceptance.","standard","6","Figure 2 candidate-to-endpoint pipeline","The algorithm charges natural and aligned bytes, identifies every updated state, and does not assert unmeasured superiority.","TODO","0","R3;R4","yes","Target approximately 1.35 main-text pages."
"W5","Writing","Theory and diagnostics","Theory and Diagnostic Predictions","C3;C4;C6;C13","mixed","N/A","planned","Present the perturbation expansion, correlation conditions, comfort-zone assumptions, endpoint limitation, and the boundary of the repeated smoke diagnostic.","standard","5","Figure 3 Hessian geometry and loss landscape","Every proposition states assumptions and verified diagnostics remain scoped to the bounded run or three separate smoke jobs.","TODO","0","R3;E1;E3a","yes","Target approximately 1.15 main-text pages; the unexecuted full ablation remains E8."
"W6","Writing","Experimental protocol","Experimental Protocol","C7;C8;C9;C13","mixed","N/A","planned","Specify models, data, splits, seeds, tensor coverage, rates, baselines, metrics, provenance, and which stages are executed versus planned.","standard","7","Experimental setup table","The protocol distinguishes verified smoke, preregistered, planned, and literature-only rows and defines every comparison lane.","TODO","0","R2;E3a","yes","Target approximately 0.75 main-text page; writing the protocol does not imply E2-E9 executed."
"W7","Writing","Verified bounded results","Results and Analysis > Verified Bounded Evidence","C1;C2;C3;C4;C5;C11","mixed","EXP-V-STRICT-RATE","verified","Report exact-byte endpoints, paired diagnostics, parameter efficiency, geometry, and loss landscapes.","standard","4","Table 2 plus Figure 3 verified panels","Every value is recomputed from source files and captions state one seed, six tensors, and diagnostic statistical scope.","TODO","0","E1;W3;W5","yes","Lead with the negative strict equal-rate outcome."
"W8","Writing","Confirmatory scale and frontier results","Results and Analysis > Multi-Seed and Scale","C8;C12","experiment","EXP-SCALE-ALL","planned","Populate multi-seed model-scale, rate, and external-comparison results only after confirmatory executions complete.","frontier","6","Exact-rate Pareto and confirmatory model-scale panels","No factual confirmatory result sentence or filled numeric cell exists without a completed output artifact and aggregation check.","TODO","0","E2;E3;E4;E5;E6;E7;E8;E9","yes","The verified three-job smoke is tracked separately in W8a and does not complete this issue."
"W8a","Writing","Three scalability-smoke observations","Results and Analysis > Three Scalability-Smoke Observations","C13","experiment","EXP-SCALE-SMOKE-3JOB","verified","Report the three within-model endpoint/geometry observations, parameter-utilization controls, and loss paths with explicit evidence boundaries.","standard","1","Compact smoke endpoint table plus efficiency/geometry and 13-point path panels","Prose and captions state seed 17, one selected-weight rate, exact tensor scopes, no pooling/significance/model-size trend, and keep C8/C12 planned.","DONE","1","E3a","yes","The strict-scaled-QSL-minus-QL NLL sign is positive in all three separate jobs; this is a repeated diagnostic, not confirmatory inference."
"W9","Writing","Limitations and conclusion","Limitations and Conclusion","C2;C7;C8;C11;C12;C13","n/a","N/A","n/a","Close with the bounded and unpooled-smoke takeaway, source-provenance boundary, deployment gap, and remaining confirmatory claims.","standard","0","No visual; concise evidence-status summary","The conclusion contains no universal orthogonality, pooled/model-scale, production speed, or frontier-superiority claim unless the corresponding evidence is complete.","TODO","0","W7;W8a","yes","Target approximately 0.40 main-text page; planned W8 is not a prerequisite for a limitation-aware conclusion."
"V1","Visual","Exact-byte problem schematic","Introduction","C0;C1","figure","N/A","n/a","Create a structural diagram contrasting logical payload accounting with exact serialized bytes.","N/A","0","Vector problem schematic with charged payload fields","The vector figure contains no empirical bar height and matches the method component inventory.","TODO","0","R4;W1","no","Structural figure."
"V2","Visual","Verified geometry and landscape","Theory and Diagnostic Predictions","C3;C4","figure","EXP-V-LANDSCAPE","verified","Generate publication panels directly from current geometry and landscape result files.","N/A","0","Vector Hessian-correlation and epsilon-path panels","The plotting script records source paths, uses no title inside panels, and labels the bounded one-seed scope in the caption data.","TODO","0","E1","yes","No smoothing or invented uncertainty bands."
"V3","Visual","Exact-rate Pareto curves","Results and Analysis","C8;C12","figure","EXP-RATE-SWEEP","planned","Generate multi-seed Pareto panels only after rate sweeps complete.","N/A","0","Vector PPL-versus-serialized-byte curves","Each point maps to a validated artifact and uncertainty is aggregated across disclosed seeds.","TODO","0","E4","yes","Do not generate from expected outcomes."
"V4","Visual","Training-lane taxonomy","Related Work","C9;C10","table","N/A","n/a","Create a compact table of A0/A1/B/C training signal, updated state, payload, and comparison policy.","N/A","0","Booktabs training-lane taxonomy","Every row is backed by a primary source or the audited repository matrix and no performance ranking appears.","TODO","0","R2","yes","Literature-reported protocol evidence only."
"V5","Visual","Three-job scalability-smoke panels","Results and Analysis > Three Scalability-Smoke Observations","C13","figure","EXP-SCALE-SMOKE-3JOB","verified","Generate deterministic efficiency/geometry and loss-path panels from the fail-closed aggregate manifest.","N/A","0","Vector/PDF and PNG efficiency-geometry plus six-path-per-job landscape panels","Plot manifests hash every input/output; labels enforce within-model reading, one seed/rate, descriptive windows, and Taylor-fit versus extrapolation boundaries.","DONE","0","E3a","yes","No cross-model connecting line, pooled statistic, significance marker, or whole-model compression label."
"RF1","Refinement","Apply paper rhythm refinement","N/A","N/A","n/a","N/A","n/a","Refine sentence rhythm and claim calibration after all executed-evidence sections stabilize.","N/A","0","N/A","The revision preserves citations, equations, numeric values, evidence labels, and section intent.","TODO","0","W1;W2;W3;W4;W5;W6;W7;W8a;W9","no","Planned W8 remains out of the refinement dependency until confirmatory evidence exists."
"Q1","QA","Validate contracts and evidence links","N/A","N/A","n/a","N/A","n/a","Run issue/design validators and check every evidence path and status transition.","N/A","0","N/A","Validators pass and every verified claim resolves to an existing artifact.","TODO","0","R1;R2;R3;R4","yes","Repeat after any paper-direction change."
"Q2","QA","Compile and inspect ICML manuscript","N/A","N/A","n/a","N/A","n/a","Compile the manuscript and scan for LaTeX errors, undefined citations/references, and overfull boxes.","N/A","0","N/A","The review PDF compiles with no LaTeX error, undefined citation/reference, or material overfull box.","TODO","0","RF1;V1;V2;V4;V5","yes","Planned Pareto visual V3 is excluded until its required experiments exist; ICML style files must be source-controlled or provenance-documented."
"Q3","QA","Independent claim and result review","N/A","N/A","n/a","N/A","n/a","Ask an independent reviewer to audit claim scope, numeric backfill, comparison fairness, and negative-result visibility.","N/A","0","N/A","All blocking findings are fixed or recorded as explicit limitations before synchronization.","TODO","0","Q1;Q2","yes","Required before final Git push."
